,"База вопросов формата ""Кто хочет стать миллионером?"" (с) Сергей Зубарь, декабрь 2003 г.",,,,,
,"(Дисклеймер: возможны опечатки, фактические ошибки и устаревшие к настоящему времени данные)",,,,,
,,,,,,
Уровень,Вопрос,Вариант A,Вариант B,Вариант C,Вариант D,Ответ
,,,,,,
2,"Любители телесериалов знают, что ""она написала …""",Роман,Письмо,Донос,Убийство,D
2,Какое определение человеческого характера приписывают ослу?,Упорный,Усердный,Упрямый,Уступчивый,C
2,Как называется обратная сторона игральных карт?,Майка,Сорочка,Рубашка,Тельняшка,C
8,Что такое оляпка?,Водяной воробей,Брак на арматуре,"Термин, обозначающий опечатку",Приспособление для гидроизолирования,A
6,Кто такая золовка?,Сестра жены,Сестра мужа,Жена брата,Дочь крестной,B
7,Какое из этих растений обычно зацветает раньше остальных трех?,Мать-и-мачеха,Ландыш,Колокольчик,Одуванчик,A
4,Как называется искусство аранжировки цветов?,Суши,Кэндо,Икэбана,Харакири,C
2,Что охватывает колеса танка?,Сороконожка,Гусеница,Змея,Ящерица,B
6,"Кто летел на космическом корабле ""Восток-1""?",Гагарин,Терешкова,Николаев,Береговой,A
2,Какое из искусств В. И. Ленин считал важнейшим для Советской России?,Цирк,Балет,Кино,Оперетту,C
9,"Как называется вода, в молекуле которой водород заменен на дейтерий?",Тяжелая вода,Мягкая вода,Легкая вода,Жесткая вода,A
4,Что изучает археология?,Жизнь Архимеда,Историю Архангельска,Жизнь древних народов,Устройство архивов,C
8,"Кто из этих известных актеров и режиссеров, народных артистов СССР, стал министром культуры своей страны?",Богдан Ступка,Донатас Банионис,Вия Артмане,Роберт Стуруа,A
3,Какого из этих животных не было среди Бременских музыкантов?,Осел,Козел,Петух,Кот,B
1,Как звучит самое распространенное телефонное приветствие?,Гамарджоба,Алло,Чао,Пронто,B
3,Что делал с лесом отец мужичка-с-ноготок?,Сажал,Рубил,Охранял,Поливал,B
2,"Кто герой русской песни ""Есть на Волге утес""?",Емельян Пугачев,Стенька Разин,Иван Грозный,Владимир Ульянов,B
3,Какие обязанности выполняет тамада?,Следит за чистотой,Руководит праздничным столом,Взимает плату за вход,Устраивает фейерверки,B
10,"Как звали жену Зигфрида из ""Песни о Нибелунгах""?",Кримхильда,Брюнхильда,Стромхильда,Бромхильда,A
2,"Чем в стародавние времена били по голове карточного игрока, уличенного в плутовстве?",Саблей,Ломберным столиком,Канделябром,Шпицрутенами,C
8,"Кому из борцов за гражданские права принадлежит фраза: ""У меня есть мечта …""?",Анджеле Дэвис,Роберту Кеннеди,Мартину Лютеру Кингу,Махатме Ганди,C
9,Какая рыба называется по-другому морская щука?,Мурена,Барракуда,Тунец,Угорь,B
1,Как в народе называют простейшую автоматическую камеру?,"""Вафельница""","""Пудреница""","""Мыльница""","""Школьница""",C
6,Три из этих слов - синонимы. Назовите четвертое  ,Вампир,Вурдалак,Упырь,Вервольф,D
9,Кем приходилась сватья баба Бабариха князю Гвидону?,Теткой,Сватьей,Бабушкой,Никем,C
9,Какая из этих стран не участвовала в Крымской войне 1853-56гг.?,Турция,Англия,Германия,Франция,C
6,Из чего сделаны пластинки ксилофона?,Из меди,Из дерева,Из стали,Из пластмассы,B
8,Сколько карт используют при игре в бридж?,52,36,32,54,A
6,Какую из этих картин написал не И. Е. Репин?,"""Бурлаки на Волге""","""Утро стрелецкой казни""","""Запорожцы пишут письмо …""","""Иван грозный убивает своего сына""",B
12,"Какая из этих ""лун"" - спутник Сатурна?",Тритон,Энцелад,Ганимед,Каллисто,B
13,"Если конь гнедой, с желтоватыми подпалинами, то какой он масти?",Мухортый,Чагравый,Чубарый,Пегий,A
7,Руководителем какой страны бывшего социалистического лагеря был Янош Кадар?,Венгрии,Румынии,Чехословакии,Польши,A
1,Какой тип дорожных знаков пока не существует?,Запрещающие,Предписывающие,Предупреждающие,Поощряющие,D
7,Как правильно пишется название этого плотницкого инструмента?,Стамеска,Стаместка,Стомеска,Стоместка,A
13,Где находится Море космонавтов?,Луна,Индийский океан,Марс,Тихий океан,B
6,Под каким зодиакальным созвездием родился человек 26 июня?,Близнецы,Рак,Лев,Скорпион,B
3,"Какой отель прославила группа ""Иглз""?",Метрополь,Мариотт,Хилтон,Калифорния,D
2,Как называются зарытые в землю ценности?,Рытвина,Клад,Заначка,Сбережения,B
10,В команде какой страны играл великий Пеле с 1975 по 1977 г.?,Португалия,США,Испания,Италия,B
4,"Назовите фильм, за роль в котором Дастин Хоффман получил ""Оскара""","""Человек огня""","""Снежный человек""","""Человек грозы""","""Человек дождя""",D
8,Какой из этих художников происходил из знатного дворянского рода?,Ван Гог,Тулуз-Лотрек,Ренуар,Моне,B
8,"Как назывался весенний языческий праздник у восточных славян, связанный с поминовением предков?",Тризна,Радуница,Купала,Солнцеворот,B
8,В каком городе родился Вольфганг Амадей Моцарт?,Вена,Веймар,Прага,Зальцбург,D
8,Назовите одного из сподвижников Е. Пугачева,Карпуша,Макуша,Хлопуша,Хрипуша,C
10,Какой из этих духовых музыкальных инструментов - не деревянный?,Фагот,Гобой,Кларнет,Корнет-а-пистон,D
6,Как называется цветное непрозрачное стекло в виде кубиков или пластинок для изготовления мозаик?,Левкас,Смальта,Опак,Баккара,B
9,В какой стране одно время правили сандинисты?,Гаити,Сальвадор,Парагвай,Никарагуа,D
9,"Название какой овощной или плодовой культуры произошло от итальянского ""Золотое яблоко""?",Мандарин,Помидор,Апельсин,Абрикос,B
4,Какой город является центром Уральского федерального округа?,Пермь,Екатеринбург,Челябинск,Тюмень,B
8,Как называется самое большое в мире парусное судно?,"""Крузенштерн""","""Седов""","""Витязь""","""Петр Великий""",B
6,Бракосочетание какой американской звезды с английским кинорежиссером состоялось в конце 2000г. в Шотландии?,Деми Мур,Мадонна,Шерон Стоун,Барбара Стрейзанд,B
3,На какой птице летала Дюймовочка?,Стриж,Сова,Ласточка,Воробей,C
3,"Какое слово пропущено в лозунге советской эпохи: ""… - всем ребятам пример!""?",Милиционер,Революционер,Гайдар,Пионер,D
1,Как называется очень высокое здание?,Небокол,Небочист,Небоскреб,Неботер,C
1,Что ходил копать Антошка в известной песенке?,Картошку,Морковку,Петрушку,Топинамбур,A
2,Кто является виновником смерти А. С. Пушкина на дуэли?,Француз Дантес,Леди Винтер,Виконт де Бражелон,Граф Бенкендорф,A
10,Какое из этих слов означает русскую меру объема жидкости в 1/10 штофа?,Чарка,Стопка,Лафитник,Рюмка,A
9,"Как называется крупный бриллиант, вправленный в перстень отдельно, без других камней?",Солитер,Карбункул,Альмандин,Демантоид,A
1,"Что сказал Юрий Гагарин, отправляясь в первый в истории человечества полет в космос?",Поехали!,Дави на газ!,"Не валяй дурака, Америка!","Замуровали, демоны!",A
4,Кто подсказывает текст актерам во время спектакля?,Суфлер,Ябеда,Конферансье,Дирижер,A
5,Какое из этих животных не относится к семейству кошачьих?,Гепард,Леопард,Куница,Тигр,C
7,Как называется денежная единица Португалии?,Эскудо,Пиастр,Лира,Форинт,A
4,Что надевает невеста на свадьбу?,Фату,Кокошник,Колпак с бубенцами,Шлем,A
7,"Кто из этих поэтов автор слов к песням ""Остров невезения"" и ""А нам все равно"" из к/ф ""Бриллиантовая рука""?",Л. Дербенев,М. Танич,Н. Добронравов,И. Резник,A
12,Какого художника считают главой венецианской школы Высокого и Позднего Возрождения?,Рафаэль,Тициан,Веронезе,Тинторетто,B
3,Как можно напиться?,В стельку,В шнурок,В подошву,В супинатор,A
2,"Что из этого - часть составного названия чего-либо в странах английского языка, означающая новый?",Олд,Ап,Нью,Литтл,C
9,Кто из теннисистов неожиданно для всех выиграл Уимблдонский турнир в 2001 г.?,Горан Иванишевич,Марат Сафин,Густаво Куэртен,Андре Агасси,A
10,"Каким метром написано стихотворение Н. А. Некрасова ""Мужичок с ноготок""?",Дактиль,Амфибрахий,Хорей,Анапест,B
6,Как звали Минина - одного из вдохновителей освобождения России от поляков?,Кузьма,Фрол,Игнат,Усин,A
4,Чем является Третьяковская галерея?,Торговым залом,Экспоцентром,Музеем,Вокзалом,C
4,Кто автор музыки гимна России?,Глинка,Чайковский,Александров,Мурадели,C
1,Какая терапия была применена для оздоровления российской экономики?,Медикаментозная,Курортная,Шоковая,Грязелечение,C
7,Как в старину назывался город Токио?,Киото,Эдо,Хокку,Осико,B
14,"У кого из этих поэтов есть стихотворение ""Няне Пушкина""?",П. А. Вяземский,Н. М. Языков,А. А. Дельвиг,В. К. Кюхельбекер,B
2,"Кого в народе называют ""медвежатником""?",Взломщика сейфов,Дрессировщика,Лесничего,Работника зоопарка,A
11,Какая мера объема жидкости больше?,Пол-литра,Пинта английская,Пинта американская,Полуштоф,D
6,К какому штату административно относится столица США город Вашингтон?,Вашингтон,Ни к какому,Массачусетс,Пенсильвания,B
3,Сколько смягчающих гласных в русском алфавите?,10,6,4,5,D
